# Data from TABLE 2 of https://arxiv.org/pdf/1212.5222.pdf
# Muv = M_1500AB
# exact std_Muv were not provided
# Table 3 give the exact Muv along with errors
# Pessimistic std_Muv=0.5
# delta_z=1
# z   Muv   std    phi    +std     -std 
7.00 -21.00 0.00 3.00e-5 1.00e-5 -1.00e-5
7.00 -20.50 0.00 12.0e-6 2.00e-6 -2.00e-6
7.00 -20.00 0.00 33.0e-6 5.00e-6 -5.00e-6
7.00 -19.50 0.00 75.0e-6 9.00e-6 -9.00e-6
7.00 -19.00 0.00 1.10e-3 0.20e-3 -0.20e-3
7.00 -18.50 0.00 2.10e-3 0.60e-3 -0.60e-3
7.00 -18.00 0.00 4.20e-3 0.90e-3 -0.90e-3
7.00 -17.50 0.00 7.90e-3 1.90e-3 -1.90e-3
7.00 -17.00 0.00 1.10e-2 2.50e-3 -2.50e-3
8.00 -21.00 0.00 8.00e-6 3.00e-6 -3.00e-6
8.00 -20.50 0.00 3.00e-5 9.00e-6 -9.00e-6
8.00 -20.00 0.00 1.00e-4 3.00e-5 -3.00e-5
8.00 -19.50 0.00 3.00e-4 6.00e-5 -6.00e-5
8.00 -19.00 0.00 5.00e-4 1.20e-4 -1.20e-4
8.00 -18.50 0.00 1.20e-3 0.40e-3 -0.40e-3
8.00 -18.00 0.00 1.80e-3 0.60e-3 -0.60e-3
8.00 -17.50 0.00 2.80e-3 0.80e-3 -0.80e-3
8.00 -17.00 0.00 0.50e-2 2.50e-3 -2.50e-3
