# M_uv LF sig_pos sig_neg
-24.0 1.6e-12 nan nan
-23.5 1.4e-10 nan nan
-23.0 4.6e-09 nan nan
-22.5 6.4e-08 nan nan
-22.0 4.6e-07 nan nan
-21.5 2.1e-06 nan nan
-21.0 7.2e-06 3.1e-06 3.1e-06
-20.5 2.1e-05 7.3e-06 7.3e-06
-20.0 5.3e-05 nan nan
-19.5 1.2e-04 nan nan
-19.0 2.3e-04 1.8e-04 1.8e-04
-18.5 3.7e-04 3.7e-04 2.4e-04
-18.0 5.8e-04 4.2e-04 4.2e-04
-17.5 9.2e-04 1.8e-04 1.8e-04
-17.0 1.4e-03 2.9e-04 2.9e-04
-16.5 2.2e-03 4.3e-04 4.3e-04
-16.0 3.3e-03 6.5e-04 6.5e-04
-15.5 4.9e-03 9.7e-04 9.7e-04
-15.0 7.1e-03 1.4e-03 1.4e-03
-14.5 1.0e-02 2.1e-03 2.1e-03
-14.0 1.5e-02 3.0e-03 3.0e-03
-13.5 2.1e-02 nan nan
-13.0 2.9e-02 nan nan
-12.5 4.1e-02 nan nan
-12.0 5.7e-02 nan nan
-11.5 7.8e-02 nan nan
-11.0 1.1e-01 nan nan
-10.5 1.4e-01 nan nan
-10.0 1.9e-01 nan nan
-9.5 2.6e-01 nan nan
-9.0 3.4e-01 nan nan
-8.5 4.6e-01 nan nan
-8.0 6.0e-01 nan nan
