# z   Muv   std    phi    +std     -std 
2.00 -21.86 0.00 .000003 .000008 -.000008
2.00 -21.11 0.00 .000270 .000089 -.000089
2.00 -20.61 0.00 .000661 .000154 -.000154
2.00 -20.11 0.00 .001797 .000231 -.000231
2.00 -19.61 0.00 .003031 .000301 -.000301
2.00 -19.11 0.00 .004661 .000353 -.000353
2.00 -18.61 0.00 .005855 .000437 -.000437
2.00 -17.61 0.00 .011541 .000835 -.000835
2.00 -17.11 0.00 .010795 .002006 -.002006
2.00 -16.61 0.00 .015992 .003437 -.003437 
3.00 -22.52 0.00 6.00e-6 5.00e-6 -5.00e-6 
3.00 -21.77 0.00 76.0e-6 38.0e-6 -38.0e-6 
3.00 -21.27 0.00 402.e-6 78.0e-6 -78.0e-6
3.00 -20.77 0.00 769.e-6 117.e-6 -117.e-6
3.00 -20.27 0.00 1607e-6 157.e-6 -157.e-6
3.00 -19.77 0.00 2205e-6 189.e-6 -189.e-6
3.00 -19.27 0.00 3521e-6 239.e-6 -239.e-6
3.00 -18.77 0.00 4557e-6 297.e-6 -297.e-6
3.00 -18.27 0.00 6258e-6 437.e-6 -437.e-6
3.00 -17.77 0.00 .011417 656.e-6 -656.e-6
3.00 -17.27 0.00 .010281 1368e-6 -1368e-6
4.00 -22.69 0.00 5.00e-6 4.00e-6 -4.00e-6
4.00 -22.19 0.00 .000015 .000009 -.000009
4.00 -21.69 0.00 .000144 .000022 -.000022
4.00 -20.69 0.00 .000698 .000068 -.000068
4.00 -20.19 0.00 .001624 .000131 -.000131
4.00 -19.69 0.00 .002276 .000199 -.000199
4.00 -19.19 0.00 .003056 .000388 -.000388
4.00 -18.69 0.00 .004371 .000689 -.000689
4.00 -17.94 0.00 .010160 .000920 -.000920
4.00 -16.94 0.00 .027420 .003440 -.003440
4.00 -15.94 0.00 .028820 .008740 -.008740
5.00 -23.11 0.00 1.00e-6 1.00e-6 -1.00e-6
5.00 -22.61 0.00 4.00e-6 2.00e-6 -2.00e-6
5.00 -22.11 0.00 28.0e-e 7.00e-6 -7.00e-6
5.00 -21.61 0.00 92.0e-6 13.0e-6 -13.0e-6
5.00 -21.11 0.00 262.e-6 24.0e-6 -24.0e-6
5.00 -20.61 0.00 .000584 .000044 -.000044
5.00 -20.11 0.00 .000879 .000067 -.000067
5.00 -19.61 0.00 .001594 .000156 -.000156
5.00 -19.11 0.00 .002159 .000346 -.000346
5.00 -18.36 0.00 .004620 .000520 -.000520
5.00 -17.36 0.00 .008780 .001540 -.001540
5.00 -16.36 0.00 .025120 .007340 -.007340
6.00 -22.52 0.00 2.00e-6 2.00e-6 -2.00e-6
6.00 -22.02 0.00 14.0e-6 5.00e-6 -5.00e-6
6.00 -21.02 0.00 .000169 .000024 -.000024
6.00 -20.52 0.00 .000317 .000041 -.000041
6.00 -20.02 0.00 .000724 .000087 -.000087
6.00 -19.52 0.00 .001147 .000157 -.000157
6.00 -18.77 0.00 .002820 .000440 -.000440
6.00 -17.77 0.00 .008360 .001660 -.001660
6.00 -16.77 0.00 .017100 .005260 -.005160
7.00 -22.19 0.00 1.00e-6 2.00e-6 -2.00e-6  
7.00 -21.69 0.00 41.0e-6 11.0e-6 -11.0e-6
7.00 -21.19 0.00 47.0e-6 15.0e-6 -15.0e-6
7.00 -20.69 0.00 198.e-6 36.0e-6 -36.0e-6
7.00 -20.19 0.00 283.e-6 66.0e-6 -66.0e-6
7.00 -19.69 0.00 .000589 .000126 -.000126
7.00 -19.19 0.00 .001172 .000336 -.000336
7.00 -18.69 0.00 .001433 .000419 -.000419
7.00 -17.94 0.00 .005760 .001440 -.001440
7.00 -16.94 0.00 .008320 .002900 -.002900
8.00 -21.85 0.00 3.00e-6 2.00e-6 -2.00e-6
8.00 -21.35 0.00 12.0e-6 4.00e-6 -4.00e-6
8.00 -20.85 0.00 41.0e-6 11.0e-6 -11.0e-6
8.00 -20.10 0.00 120.e-6 40.0e-6 -40.0e-6
8.00 -19.35 0.00 657.e-6 233.e-6 -233.e-6
8.00 -18.60 0.00 .001100 .000340 -.000340
8.00 -17.60 0.00 .003020 .001140 -.001140
9.00 -21.92 0.00 1.00e-6 1.00e-6 -1.00e-6
9.00 -21.12 0.00 7.00e-6 3.00e-6 -3.00e-6
9.00 -20.32 0.00 26.0e-6 9.00e-6 -9.00e-6
9.00 -19.12 0.00 .000187 .000150 -.000150
9.00 -17.92 0.00 .000923 .000501 -.000501
