# z   Muv   std    phi    +std     -std 
### z = 4
4.00 -23.00 0.00 1.60e-6 0.00e-6 -1.60e-6
4.00 -22.50 0.00 9.30e-6 4.50e-6 -3.30e-6
4.00 -22.00 0.00 27.6e-6 7.40e-6 -6.20e-6
4.00 -21.50 0.00 1192e-7 145.e-7 -132.e-6
4.00 -21.00 0.00 2968e-7 230.e-7 -219.e-6
4.00 -20.50 0.00 6491e-7 361.e-7 -347.e-7
4.00 -20.00 0.00 1.26e-3 4.94e-5 -4.74e-5
4.00 -19.50 0.00 1.66e-3 6.30e-5 -6.18e-5
4.00 -19.00 0.00 2.64e-3 0.12e-3 -0.12e-3
4.00 -18.50 0.00 3.62e-3 0.68e-3 -0.61e-3
4.00 -18.00 0.00 5.83e-3 0.88e-3 -0.82e-3
4.00 -17.50 0.00 6.49e-6 1.02e-3 -0.95e-3
### z = 5
5.00 -23.00 0.00 2.30e-6 0.00e-6 -2.30e-6
5.00 -22.50 0.00 8.20e-6 5.10e-6 -3.60e-6
5.00 -22.00 0.00 8.20e-6 5.10e-6 -3.60e-6
5.00 -21.50 0.00 75.8e-6 13.7e-6 -12.5e-6
5.00 -21.00 0.00 0.26e-3 0.03e-3 -0.02e-3
5.00 -20.50 0.00 0.52e-3 0.04e-3 -0.04e-3
5.00 -20.00 0.00 0.93e-3 0.05e-5 -0.05e-3
5.00 -19.50 0.00 1.21e-3 0.05e-5 -0.07e-3
5.00 -19.00 0.00 2.09e-3 0.12e-3 -0.12e-3
5.00 -18.50 0.00 3.69e-3 0.39e-3 -0.37e-3
5.00 -18.00 0.00 4.74e-3 0.48e-3 -0.44e-3
5.00 -17.50 0.00 7.08e-6 1.28e-3 -1.14e-3
### z = 6
6.00 -23.00 0.00 2.50e-6 0.00e-6 -2.50e-6
6.00 -22.50 0.00 2.50e-6 0.00e-6 -2.50e-6
6.00 -22.00 0.00 9.10e-6 5.70e-6 -3.90e-6
6.00 -21.50 0.00 33.8e-6 10.5e-6 -8.50e-6
6.00 -21.00 0.00 0.07e-3 0.01e-3 -0.01e-3
6.00 -20.50 0.00 0.19e-3 0.03e-3 -0.02e-3
6.00 -20.00 0.00 0.40e-3 0.04e-5 -0.04e-3
6.00 -19.50 0.00 0.59e-3 0.05e-5 -0.04e-3
6.00 -19.00 0.00 0.84e-3 0.09e-3 -0.08e-3
6.00 -18.50 0.00 2.44e-3 0.39e-3 -0.35e-3
6.00 -18.00 0.00 3.67e-3 1.01e-3 -0.84e-3
6.00 -17.50 0.00 5.91e-6 1.45e-3 -1.23e-3
### z = 7
7.00 -23.00 0.00 2.90e-6 0.00e-6 -2.90e-6
7.00 -22.50 0.00 2.90e-6 0.00e-6 -2.90e-6
7.00 -22.00 0.00 4.60e-6 4.90e-6 -2.80e-6
7.00 -21.50 0.00 18.7e-6 8.50e-6 -6.70e-6
7.00 -21.00 0.00 0.07e-3 0.02e-3 -0.02e-3
7.00 -20.50 0.00 0.13e-3 0.02e-3 -0.02e-3
7.00 -20.00 0.00 0.27e-3 0.04e-5 -0.03e-3
7.00 -19.50 0.00 0.38e-3 0.06e-5 -0.06e-3
7.00 -19.00 0.00 0.57e-3 0.22e-3 -0.18e-3
7.00 -18.50 0.00 2.56e-3 0.87e-3 -0.72e-3
7.00 -18.00 0.00 3.08e-3 1.08e-3 -0.88e-3
### z = 8
8.00 -23.00 0.00 3.50e-6 0.00e-6 -3.50e-6
8.00 -22.50 0.00 3.50e-6 0.00e-6 -3.50e-6
8.00 -22.00 0.00 3.50e-6 0.00e-6 -3.50e-6
8.00 -21.50 0.00 7.90e-6 6.80e-6 -4.60e-6
8.00 -21.00 0.00 15.0e-6 9.40e-6 -7.00e-6
8.00 -20.50 0.00 0.06e-3 0.02e-3 -0.02e-3
8.00 -20.00 0.00 0.11e-3 0.04e-5 -0.03e-3
8.00 -19.50 0.00 0.22e-3 0.18e-5 -0.13e-3
8.00 -19.00 0.00 0.61e-3 0.35e-3 -0.26e-3
8.00 -18.50 0.00 1.51e-3 1.07e-3 -0.77e-3
