# M_uv LF sig_pos sig_neg
-24.0 2.9e-11 nan nan
-23.5 2.4e-09 nan nan
-23.0 7.6e-08 nan nan
-22.5 1.0e-06 nan nan
-22.0 6.7e-06 nan nan
-21.5 2.6e-05 7.1e-6 7.1e-6
-21.0 7.4e-05 2.3e-5 2.3e-5
-20.5 1.7e-04 3.0e-5 3.0e-5
-20.0 3.5e-04 6.9e-5 6.9e-5
-19.5 6.7e-04 1.0e-4 1.0e-4
-19.0 1.2e-03 2.3e-4 2.3e-4
-18.5 1.9e-03 6.8e-04 6.8e-04
-18.0 2.8e-03 8.9e-04 8.9e-04
-17.5 4.1e-03 8.2e-04 8.2e-04
-17.0 5.9e-03 1.2e-03 1.2e-03
-16.5 8.4e-03 1.7e-03 1.7e-03
-16.0 1.2e-02 2.4e-03 2.4e-03
-15.5 1.6e-02 3.3e-03 3.3e-03
-15.0 2.2e-02 4.5e-03 4.5e-03
-14.5 3.0e-02 6.1e-03 6.1e-03
-14.0 4.1e-02 8.2e-03 8.2e-03
-13.5 5.5e-02 5.9e-02 2.8e-02
-13.0 7.3e-02 1.1e-01 5.0e-02
-12.5 9.7e-02 1.5e-01 6.2e-02
-12.0 1.3e-01 3.3e-01 1.0e-01
-11.5 1.7e-01 nan nan
-11.0 2.2e-01 nan nan
-10.5 2.8e-01 nan nan
-10.0 3.7e-01 nan nan
-9.5 4.7e-01 nan nan
-9.0 6.0e-01 nan nan
-8.5 7.2e-01 nan nan
-8.0 7.1e-01 nan nan
