reference,z,M_UV,log_phi,err_up,err_down,upper_lim
Bouwens et al. 2016,9.0,-21.94,-5.61978876,,,True
Bouwens et al. 2016,9.0,-21.14,-5.35654732,0.29104577,0.34242268,False
Bouwens et al. 2016,9.0,-20.34,-4.49214413,0.22373289,0.24303805,False
Bouwens et al. 2016,10.0,-22.05,-5.76955108,,,True
Bouwens et al. 2016,10.0,-21.25,-6.04575749,0.52287875,0.65321251,False
Bouwens et al. 2016,10.0,-20.45,-4.74472749,0.29373076,0.34145865,False
Bouwens et al. 2022,2.0,-18.75,-2.33724217,0.05324551,0.06069784,False
Bouwens et al. 2022,2.0,-18.25,-2.13076828,0.04458213,0.04968778,False
Bouwens et al. 2022,2.0,-17.75,-2.1739252,0.04898646,0.05522279,False
Bouwens et al. 2022,2.0,-17.25,-1.92081875,0.06694679,0.03778856,False
Bouwens et al. 2022,2.0,-16.75,-1.76955108,0.09177037,0.02632894,False
Bouwens et al. 2022,2.0,-16.25,-1.76955108,0.11197376,0.05435766,False
Bouwens et al. 2022,2.0,-15.75,-1.74472749,0.15970084,0.05115252,False
Bouwens et al. 2022,2.0,-15.25,-1.56863624,0.20210469,0.06963593,False
Bouwens et al. 2022,2.0,-14.75,-1.58502665,0.26626789,0.11394335,False
Bouwens et al. 2022,2.0,-14.25,-1.50863831,0.32818224,0.1903317,False
Bouwens et al. 2022,2.0,-13.75,-1.26760624,0.37819595,0.22724378,False
Bouwens et al. 2022,2.0,-13.25,-1.37675071,0.48734042,0.54406804,False
Bouwens et al. 2022,2.0,-12.75,-0.95860731,,,True
Bouwens et al. 2022,2.0,-12.25,-0.88605665,0.61845041,0.6368221,False
Bouwens et al. 2022,4.0,-18.75,-2.30103,0.1271048,0.18045606,False
Bouwens et al. 2022,4.0,-18.25,-2.12493874,0.10720997,0.1426675,False
Bouwens et al. 2022,4.0,-17.75,-1.95860731,0.10473535,0.1383027,False
Bouwens et al. 2022,4.0,-17.25,-1.60205999,0.09342169,0.09691001,False
Bouwens et al. 2022,4.0,-16.75,-2.02687215,0.21999674,0.30103,False
Bouwens et al. 2022,4.0,-16.25,-1.52287875,0.22184875,0.22184875,False
Bouwens et al. 2022,4.0,-15.75,-1.20065945,0.2575643,0.23113883,False
Bouwens et al. 2022,4.0,-15.25,-1.04575749,0.31292922,0.30103,False
Bouwens et al. 2022,4.0,-14.75,-1.05551733,,,True
Bouwens et al. 2022,4.0,-14.25,-0.45593196,,,True
Bouwens et al. 2022,4.0,-13.75,-0.03151705,0.52706139,0.68972935,False
Bouwens et al. 2022,6.0,-18.75,-2.537602,0.0939045,0.11997532,False
Bouwens et al. 2022,6.0,-18.25,-2.29242982,0.07775966,0.09478632,False
Bouwens et al. 2022,6.0,-17.75,-2.01772877,0.06305175,0.07378621,False
Bouwens et al. 2022,6.0,-17.25,-2.03621217,0.08929062,0.08872656,False
Bouwens et al. 2022,6.0,-16.75,-1.85387196,0.10914447,0.10473535,False
Bouwens et al. 2022,6.0,-16.25,-1.85387196,0.17609126,0.14612804,False
Bouwens et al. 2022,6.0,-15.75,-1.7212464,0.22639638,0.16481025,False
Bouwens et al. 2022,6.0,-15.25,-1.22914799,0.24618133,0.14760272,False
Bouwens et al. 2022,6.0,-14.75,-1.06048075,0.30103,0.19915656,False
Bouwens et al. 2022,6.0,-14.25,-1.07058107,0.39072736,0.3612172,False
Bouwens et al. 2022,6.0,-13.75,-0.88605665,0.45425837,0.51188336,False
Bouwens et al. 2022,6.0,-13.25,-0.49485002,0.4860761,0.50514998,False
Bouwens et al. 2022,6.0,-12.75,-0.01322827,,,True
Bouwens et al. 2022,8.0,-18.75,-2.74472749,0.12493874,0.17609126,False
Bouwens et al. 2022,8.0,-18.25,-2.79588002,0.15760785,0.24987747,False
Bouwens et al. 2022,8.0,-17.75,-2.43179828,0.12199436,0.17026172,False
Bouwens et al. 2022,8.0,-17.25,-2.23657201,0.14505703,0.1836444,False
Bouwens et al. 2022,8.0,-16.75,-2.20065945,0.21349668,0.28082661,False
Bouwens et al. 2022,8.0,-16.25,-1.7212464,0.22639638,0.23736092,False
Bouwens et al. 2022,8.0,-15.75,-1.79588002,0.32735893,0.50514998,False
Bouwens et al. 2022,8.0,-15.25,-1.85387196,0.45593196,0.66900678,False
Bouwens et al. 2022,8.0,-14.75,-1.16749109,,,True
Bouwens et al. 2022,8.0,-14.25,-0.95860731,0.49008623,0.74036269,False
Bouwens et al. 2022,8.0,-13.75,-0.27572413,0.46884873,0.57814783,False
Bouwens et al. 2022,8.0,-13.25,-0.69897,0.77451697,0.69897,False
Bouwens et al. 2022,3.0,-18.75,-2.33724217,0.05324551,0.06069784,False
Bouwens et al. 2022,3.0,-18.25,-2.11918641,0.04346569,0.04830468,False
Bouwens et al. 2022,3.0,-17.75,-1.92081875,0.03476211,0.03778856,False
Bouwens et al. 2022,3.0,-17.25,-1.76955108,0.04830468,0.02632894,False
Bouwens et al. 2022,3.0,-16.75,-1.67778071,0.07572071,0.0211893,False
Bouwens et al. 2022,3.0,-16.25,-1.65757732,0.10473535,0.04139269,False
Bouwens et al. 2022,3.0,-15.75,-1.67778071,0.15490196,0.04346569,False
Bouwens et al. 2022,3.0,-15.25,-1.55284197,0.19629465,0.06694679,False
Bouwens et al. 2022,3.0,-14.75,-1.39794001,0.2367891,0.08354605,False
Bouwens et al. 2022,3.0,-14.25,-1.24412514,0.28551783,0.11242218,False
Bouwens et al. 2022,3.0,-13.75,-1.06550155,0.33501449,0.14210676,False
Bouwens et al. 2022,3.0,-13.25,-1.11350927,0.42100531,0.26324143,False
Bouwens et al. 2022,3.0,-12.75,-0.74472749,0.45229767,0.25527251,False
Bouwens et al. 2022,3.0,-12.25,-1.01322827,0.62068329,0.70801813,False
Bouwens et al. 2022,5.0,-18.75,-2.79588002,0.11809931,0.1627273,False
Bouwens et al. 2022,5.0,-18.25,-2.49485002,0.10763388,0.14342214,False
